pin,address,lat,lon
16051090210000,1127 N LOMBARD AVE,41.90686278,-87.78108041
16051090220000,1125 N LOMBARD AVE,41.90675229,-87.78105552
16051090230000,1123 N LOMBARD AVE,41.90666144,-87.78107333
16051090240000,1119 N LOMBARD AVE,41.90658375,-87.78108281
16051090250000,1117 N LOMBARD AVE,41.90647334,-87.78107495
16051090260000,1113 N LOMBARD AVE,41.90637589,-87.78106698
16051090270000,1111 N LOMBARD AVE,41.906272,-87.78106788
16051090280000,1109 N LOMBARD AVE,41.90618103,-87.78106044
16051090290000,1105 N LOMBARD AVE,41.90609005,-87.78105242
16051090300000,1103 N LOMBARD AVE,41.90599301,-87.78107909
16051100010000,151 LE MOYNE PKWY,41.90715517,-87.78055838
16051100020000,147 LE MOYNE PKWY,41.90714811,-87.78043628
16051100030000,145 LE MOYNE PKWY,41.90714744,-87.78029709
16051100040000,141 LE MOYNE PKWY,41.9071339,-87.78017564
16051100050000,139 LE MOYNE PKWY,41.90713979,-87.78005401
16051100060000,135 LE MOYNE PKWY,41.90715211,-87.77992352
16051100070000,133 LE MOYNE PKWY,41.90717125,-87.77981
16051100080000,129 LE MOYNE PKWY,41.90715767,-87.77967973
16051100090000,1126 N LOMBARD AVE,41.90687262,-87.7804326
16051100100000,1124 N LOMBARD AVE,41.90678816,-87.78043333
16051100110000,1122 N LOMBARD AVE,41.90672331,-87.78041685
16051100120000,1120 N LOMBARD AVE,41.9066259,-87.78041769
16051100130000,1118 N LOMBARD AVE,41.90652849,-87.78041853
16051100140000,1114 N LOMBARD AVE,41.90645067,-87.78040159
16051100150000,1112 N LOMBARD AVE,41.9063793,-87.78042863
16051100160000,1110 N LOMBARD AVE,41.90628828,-87.7804118
16051100170000,1108 N LOMBARD AVE,41.90621055,-87.78041247
16051100180000,1106 N LOMBARD AVE,41.90613253,-87.78040433
16051100190000,1104 N LOMBARD AVE,41.90604163,-87.78041393
16051100200000,1100 N LOMBARD AVE,41.90595705,-87.78038881
16051100210000,1127 N HAYES AVE,41.90687596,-87.77978065
16051100220000,1125 N HAYES AVE,41.90677859,-87.7797903
16051100230000,1123 N HAYES AVE,41.90668093,-87.77973887
16051100240000,1119 N HAYES AVE,41.90658372,-87.7797309
16051100250000,1117 N HAYES AVE,41.90647987,-87.77974061
16051100260000,1115 N HAYES AVE,41.90638894,-87.7797414
16051100270000,1111 N HAYES AVE,41.90629805,-87.77975099
16051100280000,1109 N HAYES AVE,41.90620051,-87.7797254
16051100290000,1105 N HAYES AVE,41.90610331,-87.77971743
16051100300000,1101 N HAYES AVE,41.90600581,-87.77970124
16051110010000,121 LE MOYNE PKWY,41.90716213,-87.77926211
16051110020000,119 LE MOYNE PKWY,41.90717454,-87.77914924
16051110030000,115 LE MOYNE PKWY,41.9071803,-87.77900118
16051110040000,113 LE MOYNE PKWY,41.90717972,-87.77887961
16051110050000,109 LE MOYNE PKWY,41.90718556,-87.77874918
16051110060000,107 LE MOYNE PKWY,41.90718497,-87.77862702
16051110070000,103 LE MOYNE PKWY,41.90716487,-87.77848859
16051110080000,101 LE MOYNE PKWY,41.9071642,-87.7783494
16051110090000,1126 N HAYES AVE,41.90688233,-87.77915603
16051110100000,1124 N HAYES AVE,41.90677179,-87.77912233
16051110110000,1122 N HAYES AVE,41.90668107,-87.77911431
16051110120000,1118 N HAYES AVE,41.90658357,-87.77909753
16051110130000,1116 N HAYES AVE,41.9064862,-87.77910718
16051110140000,1112 N HAYES AVE,41.90639544,-87.77914262
16051110150000,1110 N HAYES AVE,41.90629155,-87.77914352
16051110160000,1106 N HAYES AVE,41.90622029,-87.77914413
16051110170000,1104 N HAYES AVE,41.90610989,-87.77913687
16051110180000,1100 N HAYES AVE,41.90600596,-87.77912896
16051110190000,1127 N TAYLOR AVE,41.90688534,-87.77843822
16051110200000,1125 N TAYLOR AVE,41.90678145,-87.77843912
16051110210000,1121 N TAYLOR AVE,41.90669077,-87.7784399
16051110220000,1119 N TAYLOR AVE,41.9065934,-87.77844956
16051110230000,1117 N TAYLOR AVE,41.90649569,-87.77838932
16051110240000,1115 N TAYLOR AVE,41.90640501,-87.77844238
16051110250000,1111 N TAYLOR AVE,41.90630751,-87.7784256
16051110260000,1109 N TAYLOR AVE,41.90620379,-87.77840947
16051110270000,1105 N TAYLOR AVE,41.90611286,-87.77841026
16051110280000,1101 N TAYLOR AVE,41.90600884,-87.77838473
16051120010000,51 LE MOYNE PKWY,41.90717526,-87.77795756
16051120020000,47 LE MOYNE PKWY,41.90717463,-87.77782718
16051120030000,45 LE MOYNE PKWY,41.907187,-87.7777055
16051120040000,43 LE MOYNE PKWY,41.90718641,-87.77758393
16051120050000,39 LE MOYNE PKWY,41.90717278,-87.77744486
16051120060000,35 LE MOYNE PKWY,41.90716563,-87.77730572
16051120070000,31 LE MOYNE PKWY,41.90719742,-87.77718328
16051120080000,29 LE MOYNE PKWY,41.90717736,-87.77705307
16051120090000,1126 N TAYLOR AVE,41.90688898,-87.77785154
16051120100000,1124 N TAYLOR AVE,41.90679817,-87.77782649
16051120110000,1120 N TAYLOR AVE,41.90670067,-87.77780971
16051120120000,1118 N TAYLOR AVE,41.90659683,-87.77781942
16051120130000,1116 N TAYLOR AVE,41.90649281,-87.7777939
16051120140000,1112 N TAYLOR AVE,41.9064084,-87.77780344
16051120150000,1110 N TAYLOR AVE,41.90632784,-87.77786163
16051120160000,1106 N TAYLOR AVE,41.90622056,-87.77784343
16051120170000,1104 N TAYLOR AVE,41.90613591,-87.77781939
16051120180000,1102 N TAYLOR AVE,41.90601263,-87.77782927
16051120190000,1121 N HUMPHREY AVE,41.90670298,-87.77711446
16051120200000,1119 N HUMPHREY AVE,41.90662293,-87.77712172
16051120210000,1117 N HUMPHREY AVE,41.90651257,-87.77712268
16051120220000,1113 N HUMPHREY AVE,41.90642168,-87.77713227
16051120230000,1111 N HUMPHREY AVE,41.90632451,-87.77713312
16051120240000,1107 N HUMPHREY AVE,41.90624006,-87.77713385
16051120250000,1105 N HUMPHREY AVE,41.90614912,-87.77713464
16051120260000,1101 N HUMPHREY AVE,41.90602576,-87.7771269
16051130010000,21 LE MOYNE PKWY,41.90720129,-87.77664409
16051130020000,19 LE MOYNE PKWY,41.90720058,-87.77649668
16051130030000,17 LE MOYNE PKWY,41.90719994,-87.7763663
16051130040000,15 LE MOYNE PKWY,41.90720587,-87.7762529
16051130050000,11 LE MOYNE PKWY,41.90720532,-87.77614014
16051130060000,7 LE MOYNE PKWY,41.90720465,-87.77600095
16051130070000,5 LE MOYNE PKWY,41.90720406,-87.77587879
16051130080000,1 LE MOYNE PKWY,41.90720342,-87.77574841
16051130090000,1126 N HUMPHREY AVE,41.90690204,-87.77648441
16051130100000,1124 N HUMPHREY AVE,41.90680454,-87.77646763
16051130110000,1122 N HUMPHREY AVE,41.90670709,-87.77645967
16051130120000,1120 N HUMPHREY AVE,41.90662272,-87.77647802
16051130130000,1116 N HUMPHREY AVE,41.90652535,-87.77648768
16051130140000,1112 N HUMPHREY AVE,41.90643462,-87.77647966
16051130150000,1110 N HUMPHREY AVE,41.90633725,-87.77648931
16051130160000,1106 N HUMPHREY AVE,41.90622693,-87.77649908
16051130170000,1104 N HUMPHREY AVE,41.90614887,-87.77648214
16051130180000,1100 N HUMPHREY AVE,41.90604494,-87.77647424
16051130190000,1428 N AUSTIN BLVD,41.90692502,-87.77587994
16051130200000,1426 N AUSTIN BLVD,41.90682113,-87.77588085
16051130210000,1424 N AUSTIN BLVD,41.90671076,-87.77588181
16051130220000,1420 N AUSTIN BLVD,41.90661335,-87.77588266
16051130230000,1416 N AUSTIN BLVD,41.90652234,-87.77586641
16051130240000,1414 N AUSTIN BLVD,41.90634872,-87.77583938
16051130250000,1410 N AUSTIN BLVD,41.90625609,-87.77583349
16051130260000,1406 N AUSTIN BLVD,41.9061782,-87.77585179
16051130270000,1404 N AUSTIN BLVD,41.90609395,-87.77584371
16051130290000,1402 N AUSTIN BLVD,41.90600297,-87.7758357
16051140010000,1000 N RIDGELAND AVE,41.90530873,-87.78299401
16051150010000,1032 N HARVEY AVE,41.90485147,-87.78231404
16051150020000,1026 N HARVEY AVE,41.9047051,-87.78235456
16051150030000,1022 N HARVEY AVE,41.90459162,-87.78237517
16051150040000,1018 N HARVEY AVE,41.90447436,-87.78237127
16051150050000,1014 N HARVEY AVE,41.90433894,-87.78240188
16051150060000,1012 N HARVEY AVE,41.90424394,-87.78245668
16051150070000,1010 N HARVEY AVE,41.90414887,-87.78249677
16051150080000,1004 N HARVEY AVE,41.90406841,-87.7825269
16051150090000,1000 N HARVEY AVE,41.90396258,-87.78255739
16051150120000,1045 MAPLETON AVE,41.90549396,-87.78184214
16051150130000,1043 MAPLETON AVE,41.90540603,-87.7818429
16051150140000,1041 MAPLETON AVE,41.90531443,-87.78184369
