building_id,address,district,zone,unit_type,bucket,units,n_pins,classes,units_source,yrblt,yr_source,excluded,exclude_reason,yr_predecessor,lat,lon
16181030070000,1001 MADISON ST,Rest of Oak Park,MS,small_mf,small_mf,4.0,1,212,char_apts,1922.0,char_yrblt,False,,,41.87940238100545,-87.80011559846758
1618103021,512 WENONAH AVE,Rest of Oak Park,R-3-35,condo,small_mf,6.0,6,299,class_rule,1913.0,condo_chars,False,,,41.87910841258022,-87.8007179998992
16181060130000,515 CARPENTER AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1898.0,char_yrblt,False,,,41.87908488159471,-87.79648939242108
16181080210000,523 S OAK PARK AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1913.0,char_yrblt,False,,,41.878775893251664,-87.7945762493344
16181080230000,529 S OAK PARK AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1966.0,char_yrblt,False,,,41.87850153255515,-87.79456667597512
16181090080000,631 S MAPLE AVE,Rest of Oak Park,R-7,large_mf,large_mf,10.0,1,315,commval_2023,1968.0,commval,False,,,41.877058931008186,-87.80420509084317
16181090090000,633 S MAPLE AVE,Rest of Oak Park,R-7,large_mf,large_mf,10.0,1,314,commval_2023,1968.0,commval,False,,,41.87692177822147,-87.80420013036563
16181090170000,713 S MAPLE AVE,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1878.0,char_yrblt,False,,,41.87633187787702,-87.80402241310114
1618109022,621 S MAPLE AVE,Rest of Oak Park,R-7,condo,large_mf,20.0,20,299,class_rule,1971.0,condo_chars,False,,,41.877338386647864,-87.80421522669413
16181100180000,625 WISCONSIN AVE,Rest of Oak Park,R-3-50,small_mf,small_mf,2.0,1,211,char_apts,1918.0,char_yrblt,False,,,41.877221030744025,-87.80265198153793
16181100190000,629 WISCONSIN AVE,Rest of Oak Park,R-3-50,small_mf,small_mf,2.0,1,211,char_apts,1918.0,char_yrblt,False,,,41.877083904691546,-87.80264692810164
16181120100000,630 WENONAH AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1916.0,char_yrblt,False,,,41.87715349421434,-87.80064830737223
1618112025,632 WENONAH AVE,Rest of Oak Park,R-3-35,condo,small_mf,4.0,4,299,class_rule,1915.0,condo_chars,False,,,41.87701636895156,-87.80064340738167
16181170040000,608 S GROVE AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,3.0,1,211,char_apts,1906.0,char_yrblt,False,,,41.877489790807346,-87.79504285142971
16181170140000,601 S OAK PARK AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1903.0,char_yrblt,False,,,41.877772951309645,-87.79454127243497
16181180020000,706 S MAPLE AVE 1,Rest of Oak Park,R-3-50,large_mf,large_mf,7.0,1,315,commval_2023,1931.0,commval,False,,,41.87648073684012,-87.80331667720523
16181190070000,714 WISCONSIN AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1916.0,char_yrblt,False,,,41.876131794403946,-87.80182737087915
16181190130000,701 WENONAH AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1900.0,char_yrblt,False,,,41.87665097126561,-87.80133009300758
16181240100000,730 CARPENTER AVE,Rest of Oak Park,R-3-35,large_mf,large_mf,12.0,1,315,commval_2023,1915.0,commval,False,,,41.87564946713836,-87.79591987142862
16181250030000,708 S GROVE AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1920.0,char_yrblt,False,,,41.87566546895785,-87.79497908804427
16181250040000,716 S GROVE AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1908.0,char_yrblt,False,,,41.875528260552954,-87.79497430732218
16181250100000,738 S GROVE AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1914.0,char_yrblt,False,,,41.87470526097002,-87.79494554409622
16181250170000,713 S OAK PARK AVE,Rest of Oak Park,R-3-35,small_mf,small_mf,2.0,1,211,char_apts,1910.0,char_yrblt,False,,,41.87553711571039,-87.79446333394782
