pin,year,class,char_yrblt
16051030080000,2025,205,1923.0
16051030080000,2026,205,1923.0
16051030090000,2020,205,1924.0
16051030090000,2021,205,1924.0
16051030090000,2022,205,1924.0
16051030090000,2023,205,1924.0
16051030090000,2024,205,1924.0
16051030090000,2025,205,1924.0
16051030090000,2026,205,1924.0
16051030100000,2020,204,1925.0
16051030100000,2021,204,1925.0
16051030100000,2022,204,1925.0
16051030100000,2023,204,1925.0
16051030100000,2024,204,1925.0
16051030100000,2025,204,1925.0
16051030100000,2026,204,1925.0
16051030110000,2020,206,1923.0
16051030110000,2021,206,1923.0
16051030110000,2022,206,1923.0
16051030110000,2023,206,1923.0
16051030110000,2024,206,1923.0
16051030110000,2025,206,1923.0
16051030110000,2026,206,1923.0
16051030120000,2020,204,1923.0
16051030120000,2021,204,1923.0
16051030120000,2022,204,1923.0
16051030120000,2023,204,1923.0
16051030120000,2024,204,1923.0
16051030120000,2025,204,1923.0
16051030120000,2026,204,1923.0
16051030130000,2020,204,1925.0
16051030130000,2021,204,1925.0
16051030130000,2022,204,1925.0
16051030130000,2023,204,1925.0
16051030130000,2024,204,1925.0
16051030130000,2025,204,1925.0
16051030130000,2026,204,1925.0
16051030140000,2020,206,1925.0
16051030140000,2021,203,1924.0
16051030140000,2022,203,1924.0
16051030140000,2023,203,1924.0
16051030140000,2024,203,1924.0
16051030140000,2025,203,1924.0
16051030140000,2026,203,1924.0
16051030150000,2020,204,1923.0
16051030150000,2021,204,1924.0
16051030150000,2022,204,1925.0
16051030150000,2023,204,1924.0
16051030150000,2024,204,1924.0
16051030150000,2025,204,1924.0
16051030150000,2026,204,1924.0
16051030160000,2020,205,1925.0
16051030160000,2021,205,1925.0
16051030160000,2022,205,1925.0
16051030160000,2023,205,1925.0
16051030160000,2024,205,1925.0
16051030160000,2025,205,1925.0
16051030160000,2026,205,1925.0
16051030170000,2020,204,1923.0
16051030170000,2021,204,1923.0
16051030170000,2022,204,1926.0
16051030170000,2023,204,1923.0
16051030170000,2024,204,1923.0
16051030170000,2025,204,1923.0
16051030170000,2026,204,1923.0
16051030180000,2020,203,1923.0
16051030180000,2021,203,1923.0
16051030180000,2022,203,1923.0
16051030180000,2023,203,1923.0
16051030180000,2024,203,1923.0
16051030180000,2025,203,1923.0
16051030180000,2026,203,1923.0
16051030190000,2020,203,1923.0
16051030190000,2021,203,1923.0
16051030190000,2022,203,1923.0
16051030190000,2023,203,1923.0
16051030190000,2024,203,1923.0
16051030190000,2025,203,1923.0
16051030190000,2026,203,1923.0
16051030200000,2020,204,1923.0
16051030200000,2021,204,1925.0
16051030200000,2022,204,1925.0
16051030200000,2023,204,1925.0
16051030200000,2024,204,1925.0
16051030200000,2025,204,1925.0
16051030200000,2026,204,1925.0
16051030210000,2020,204,1923.0
16051030210000,2021,204,1923.0
16051030210000,2022,204,1923.0
16051030210000,2023,204,1923.0
16051030210000,2024,204,1923.0
16051030210000,2025,204,1923.0
16051030210000,2026,204,1923.0
16051030220000,2020,203,1923.0
16051030220000,2021,203,1923.0
16051030220000,2022,203,1926.0
16051030220000,2023,203,1923.0
16051030220000,2024,203,1923.0
16051030220000,2025,203,1923.0
16051030220000,2026,203,1923.0
16051030230000,2020,205,1923.0
16051030230000,2021,205,1923.0
16051030230000,2022,205,1923.0
16051030230000,2023,205,1923.0
16051030230000,2024,205,1923.0
16051030230000,2025,205,1923.0
16051030230000,2026,205,1923.0
16051030240000,2020,206,1925.0
16051030240000,2021,206,1925.0
16051030240000,2022,206,1927.0
16051030240000,2023,206,1925.0
16051030240000,2024,206,1925.0
16051030240000,2025,206,1925.0
16051030240000,2026,206,1925.0
16051030250000,2020,203,1924.0
16051030250000,2021,203,1924.0
16051030250000,2022,203,1924.0
16051030250000,2023,203,1924.0
16051030250000,2024,203,1924.0
16051030250000,2025,203,1924.0
16051030250000,2026,203,1924.0
16051030260000,2020,203,1925.0
16051030260000,2021,203,1925.0
16051030260000,2022,203,1925.0
16051030260000,2023,203,1925.0
16051030260000,2024,203,1925.0
16051030260000,2025,203,1925.0
16051030260000,2026,203,1925.0
16051030270000,2020,203,1924.0
16051030270000,2021,203,1924.0
16051030270000,2022,203,1924.0
16051030270000,2023,203,1924.0
16051030270000,2024,203,1924.0
16051030270000,2025,203,1924.0
16051030270000,2026,203,1924.0
16051030280000,2020,203,1924.0
16051030280000,2021,203,1924.0
16051030280000,2022,203,1924.0
16051030280000,2023,203,1924.0
16051030280000,2024,203,1924.0
16051030280000,2025,203,1924.0
16051030280000,2026,203,1924.0
16051030290000,2020,203,1924.0
16051030290000,2021,203,1925.0
16051030290000,2022,203,1925.0
16051030290000,2023,206,1925.0
16051030290000,2024,206,1925.0
16051030290000,2025,206,1925.0
16051030290000,2026,206,1925.0
16051030300000,2020,204,1925.0
16051030300000,2021,204,1925.0
16051030300000,2022,204,1925.0
16051030300000,2023,204,1925.0
16051030300000,2024,204,1925.0
16051030300000,2025,204,1925.0
16051030300000,2026,204,1925.0
16051030310000,2020,206,1929.0
16051030310000,2021,206,1931.0
16051030310000,2022,206,1931.0
16051030310000,2023,206,1931.0
16051030310000,2024,206,1931.0
16051030310000,2025,206,1931.0
16051030310000,2026,206,1931.0
16051030320000,2020,523,
16051030320000,2021,523,
16051030320000,2022,523,
16051030320000,2023,523,
16051030320000,2024,523,
16051030320000,2025,523,
16051030320000,2026,523,
16051040050000,2020,517,
16051040050000,2021,517,
16051040050000,2022,517,
16051040050000,2023,517,
16051040050000,2024,517,
16051040050000,2025,517,
16051040050000,2026,517,
16051040060000,2020,517,
16051040060000,2021,517,
16051040060000,2022,517,
16051040060000,2023,517,
16051040060000,2024,517,
16051040060000,2025,517,
16051040060000,2026,517,
16051040070000,2020,318,
16051040070000,2021,318,
16051040070000,2022,318,
16051040070000,2023,318,
16051040070000,2024,318,
16051040070000,2025,318,
16051040070000,2026,318,
16051040080000,2020,203,1922.0
16051040080000,2021,203,1922.0
16051040080000,2022,203,1922.0
16051040080000,2023,203,1922.0
16051040080000,2024,203,1922.0
16051040080000,2025,203,1922.0
16051040080000,2026,203,1922.0
16051040090000,2020,203,1923.0
16051040090000,2021,203,1925.0
16051040090000,2022,203,1925.0
16051040090000,2023,203,1925.0
16051040090000,2024,203,1925.0
16051040090000,2025,203,1925.0
16051040090000,2026,203,1925.0
16051040100000,2020,203,1923.0
16051040100000,2021,203,1923.0
16051040100000,2022,203,1923.0
16051040100000,2023,203,1923.0
16051040100000,2024,203,1923.0
16051040100000,2025,203,1923.0
16051040100000,2026,203,1923.0
16051040110000,2020,203,1923.0
16051040110000,2021,203,1923.0
16051040110000,2022,203,1926.0
16051040110000,2023,203,1923.0
16051040110000,2024,203,1923.0
16051040110000,2025,203,1923.0
16051040110000,2026,203,1923.0
16051040120000,2020,203,1923.0
16051040120000,2021,203,1923.0
16051040120000,2022,203,1923.0
16051040120000,2023,203,1923.0
16051040120000,2024,203,1923.0
16051040120000,2025,203,1923.0
16051040120000,2026,203,1923.0
16051040130000,2020,203,1923.0
16051040130000,2021,203,1923.0
16051040130000,2022,203,1923.0
16051040130000,2023,203,1923.0
16051040130000,2024,203,1923.0
16051040130000,2025,203,1923.0
16051040130000,2026,203,1923.0
16051040140000,2020,206,1923.0
16051040140000,2021,206,1923.0
16051040140000,2022,206,1923.0
16051040140000,2023,206,1923.0
16051040140000,2024,206,1923.0
16051040140000,2025,206,1923.0
16051040140000,2026,206,1923.0
16051040150000,2020,203,1923.0
16051040150000,2021,203,1923.0
16051040150000,2022,203,1923.0
16051040150000,2023,203,1923.0
16051040150000,2024,203,1923.0
16051040150000,2025,203,1923.0
16051040150000,2026,203,1923.0
16051040160000,2020,203,1927.0
16051040160000,2021,203,1927.0
16051040160000,2022,203,1927.0
16051040160000,2023,203,1927.0
16051040160000,2024,203,1927.0
16051040160000,2025,203,1927.0
16051040160000,2026,203,1927.0
16051040170000,2020,203,1923.0
16051040170000,2021,203,1923.0
16051040170000,2022,203,1926.0
16051040170000,2023,203,1923.0
16051040170000,2024,203,1923.0
16051040170000,2025,203,1923.0
16051040170000,2026,203,1923.0
16051040180000,2020,203,1923.0
16051040180000,2021,203,1923.0
16051040180000,2022,203,1923.0
16051040180000,2023,203,1923.0
16051040180000,2024,203,1923.0
16051040180000,2025,203,1923.0
16051040180000,2026,203,1923.0
16051040190000,2020,205,1923.0
16051040190000,2021,205,1923.0
16051040190000,2022,205,1923.0
16051040190000,2023,205,1923.0
16051040190000,2024,205,1923.0
16051040190000,2025,205,1923.0
16051040190000,2026,205,1923.0
16051040200000,2020,202,1923.0
16051040200000,2021,202,1923.0
16051040200000,2022,202,1923.0
16051040200000,2023,202,1923.0
16051040200000,2024,202,1923.0
16051040200000,2025,202,1923.0
16051040200000,2026,205,1923.0
16051040210000,2020,203,1923.0
16051040210000,2021,203,1925.0
16051040210000,2022,203,1926.0
16051040210000,2023,206,1925.0
16051040210000,2024,206,1925.0
16051040210000,2025,206,1925.0
16051040210000,2026,206,1925.0
16051040220000,2020,203,1922.0
16051040220000,2021,203,1922.0
16051040220000,2022,203,1922.0
16051040220000,2023,203,1922.0
16051040220000,2024,203,1922.0
16051040220000,2025,206,1922.0
16051040220000,2026,206,1922.0
16051040230000,2020,204,1924.0
16051040230000,2021,204,1924.0
16051040230000,2022,204,1926.0
16051040230000,2023,204,1924.0
16051040230000,2024,204,1924.0
16051040230000,2025,204,1924.0
16051040230000,2026,204,1924.0
16051040240000,2020,206,1919.0
16051040240000,2021,206,1919.0
16051040240000,2022,206,1919.0
16051040240000,2023,206,1919.0
16051040240000,2024,206,1919.0
16051040240000,2025,206,1919.0
16051040240000,2026,206,1919.0
