building_id,units,n_pins,bucket,unit_type,lat,lon,address,classes
16182170050000,1.0,1,sf,sf_detached,41.875434871317225,-87.79253224048921,716 S EUCLID AVE,206
16182170060000,1.0,1,sf,sf_detached,41.87529769091815,-87.79252750153049,720 S EUCLID AVE,205
16182170070000,1.0,1,sf,sf_detached,41.875160538326824,-87.79252280381766,726 S EUCLID AVE,205
16182170080000,1.0,1,sf,sf_detached,41.87502335854414,-87.79251808436611,728 S EUCLID AVE,206
16182170090000,1.0,1,sf,sf_detached,41.87488623305386,-87.79251334693468,732 S EUCLID AVE,206
16182170100000,2.0,1,small_mf,small_mf,41.87474902535488,-87.7925086101429,736 S EUCLID AVE,211
16182170110000,1.0,1,sf,sf_detached,41.87463383047307,-87.79250462604176,742 S EUCLID AVE,205
16182170120000,1.0,1,sf,sf_detached,41.87454333759927,-87.7925015481215,744 S EUCLID AVE,205
16182170130000,1.0,1,sf,sf_detached,41.874454025196854,-87.79249846773715,746 S EUCLID AVE,205
16182170140000,0.0,1,none,none,41.8759918139211,-87.79203050108347,705 JACKSON BLVD,EX
16182170150000,1.0,1,sf,sf_detached,41.87582134108993,-87.79202470692445,707 S WESLEY AVE,204
16182170160000,1.0,1,sf,sf_detached,41.87570131519443,-87.79202057827872,711 WESLEY AVE,205
16182170170000,1.0,1,sf,sf_detached,41.87558107007688,-87.79201645377059,715 WESLEY AVE,204
16182170180000,1.0,1,sf,sf_detached,41.87544388983945,-87.79201173591107,721 WESLEY AVE,203
16182170190000,1.0,1,sf,sf_detached,41.87530673705811,-87.79200701810694,723 WESLEY AVE,205
16182170200000,1.0,1,sf,sf_detached,41.87518671177695,-87.79200292707641,725 WESLEY AVE,206
16182170210000,1.0,1,sf,sf_detached,41.875070702781535,-87.79199897425633,729 WESLEY AVE,205
16182170220000,1.0,1,sf,sf_detached,41.874998123605664,-87.79199647735142,731 WESLEY AVE,205
16182170230000,1.0,1,sf,sf_detached,41.87487807023317,-87.79199234902893,735 WESLEY AVE,205
16182170240000,1.0,1,sf,sf_detached,41.87475807223274,-87.79198822252735,737 WESLEY AVE,205
16182170250000,1.0,1,sf,sf_detached,41.874643782495056,-87.79198430302348,741 WESLEY AVE,205
16182170260000,1.0,1,sf,sf_detached,41.874552329879734,-87.7919812159738,743 WESLEY AVE,205
16182170270000,1.0,1,sf,sf_detached,41.874460766173954,-87.79197806245507,747 WESLEY AVE,206
16182180010000,1.0,1,sf,sf_detached,41.875975002725056,-87.79132642403886,700 WESLEY AVE,205
16182180020000,1.0,1,sf,sf_detached,41.87590244909225,-87.79132394579773,704 WESLEY AVE,203
16182180030000,1.0,1,sf,sf_detached,41.87576526884261,-87.7913192459103,708 WESLEY AVE,203
16182180040000,1.0,1,sf,sf_detached,41.87563210802662,-87.79131470581794,710 WESLEY AVE,203
16182180050000,1.0,1,sf,sf_detached,41.87555952649322,-87.79131222898121,716 WESLEY AVE,205
16182180060000,1.0,1,sf,sf_detached,41.87544008851147,-87.79130812194458,718 WESLEY AVE,205
16182180070000,1.0,1,sf,sf_detached,41.875357775306995,-87.7913053106821,720 WESLEY AVE,203
16182180080000,1.0,1,sf,sf_detached,41.87528522151919,-87.7913028335341,722 WESLEY AVE,205
16182180090000,1.0,1,sf,sf_detached,41.87521663116222,-87.79130047550586,724 WESLEY AVE,203
16182180100000,1.0,1,sf,sf_detached,41.875148041254526,-87.79129811776117,726 WESLEY AVE,205
16182180110000,1.0,1,sf,sf_detached,41.875045197133545,-87.7912945834367,730 WESLEY AVE,205
16182180120000,1.0,1,sf,sf_detached,41.87494229871206,-87.79129109680639,732 WESLEY AVE,205
16182180130000,1.0,1,sf,sf_detached,41.87487373643377,-87.79128875891095,734 WESLEY AVE,205
16182180140000,1.0,1,sf,sf_detached,41.87474060228698,-87.79128419894167,738 WESLEY AVE,205
16182180150000,1.0,1,sf,sf_detached,41.874667993878425,-87.7912817218894,740 WESLEY AVE,205
16182180160000,1.0,1,sf,sf_detached,41.87459940351675,-87.79127936397015,742 WESLEY AVE,205
16182180180000,1.0,1,sf,sf_detached,41.87601431438192,-87.79080868432493,627 JACKSON BLVD,205
16182180190000,1.0,1,sf,sf_detached,41.875911470609395,-87.79080521952393,705 CLARENCE AVE,205
16182180200000,1.0,1,sf,sf_detached,41.87583599150628,-87.79080262375884,707 CLARENCE AVE,206
16182180210000,1.0,1,sf,sf_detached,41.87570971873497,-87.79079831776862,711 CLARENCE AVE,203
16182180220000,1.0,1,sf,sf_detached,41.87563713816379,-87.79079584216981,713 CLARENCE AVE,205
16182180230000,1.0,1,sf,sf_detached,41.87553426692554,-87.79079235967717,717 CLARENCE AVE,205
16182180240000,1.0,1,sf,sf_detached,41.875431340869056,-87.79078882746435,719 CLARENCE AVE,205
16182180250000,1.0,1,sf,sf_detached,41.875362750680125,-87.79078650672314,721 CLARENCE AVE,205
16182180260000,1.0,1,sf,sf_detached,41.87525990717563,-87.79078300339512,723 CLARENCE AVE,205
16182180270000,1.0,1,sf,sf_detached,41.87515700874717,-87.79077949168882,727 CLARENCE AVE,205
16182180280000,1.0,1,sf,sf_detached,41.875088445840646,-87.79077715048683,729 CLARENCE AVE,205
16182180290000,1.0,1,sf,sf_detached,41.875019855924,-87.79077480926142,731 CLARENCE AVE,206
16182180300000,2.0,1,small_mf,small_mf,41.874886721254256,-87.79077028898124,735 CLARENCE AVE,211
16182180310000,4.0,1,small_mf,small_mf,41.874779886767136,-87.79076661709536,737 CLARENCE AVE,211
16182180320000,21.0,1,large_mf,large_mf,41.874574144362725,-87.79075961860005,741 CLARENCE AVE,315
1618218033,12.0,12,large_mf,condo,41.87449655983586,-87.79127582827329,746 S WESLEY AVE 1N,299
16182190010000,1.0,1,sf,sf_detached,41.87599609353804,-87.79010496438258,615 JACKSON BLVD,205
16182190020000,1.0,1,sf,sf_detached,41.87592354424213,-87.7901025059534,704 CLARENCE AVE,205
16182190030000,1.0,1,sf,sf_detached,41.87585495450227,-87.79010018627493,706 CLARENCE AVE,205
16182190040000,1.0,1,sf,sf_detached,41.875786364134854,-87.79009782951839,708 CLARENCE AVE,205
16182190050000,1.0,1,sf,sf_detached,41.875717801676146,-87.79009548876374,710 CLARENCE AVE,205
16182190060000,1.0,1,sf,sf_detached,41.87558463618878,-87.79009097063846,712 CLARENCE AVE,203
16182190070000,1.0,1,sf,sf_detached,41.87551203181712,-87.790088491868,716 CLARENCE AVE,203
16182190080000,1.0,1,sf,sf_detached,41.875409133102664,-87.79008501431011,718 CLARENCE AVE,203
16182190090000,1.0,1,sf,sf_detached,41.875306289409934,-87.79008149604655,722 CLARENCE AVE,203
16182190100000,1.0,1,sf,sf_detached,41.875237699830734,-87.79007917785123,724 CLARENCE AVE,205
16182190110000,1.0,1,sf,sf_detached,41.875158158100945,-87.79007645744417,726 CLARENCE AVE,206
16182190120000,1.0,1,sf,sf_detached,41.875040190944006,-87.790072460324,728 CLARENCE AVE,205
16182190130000,1.0,1,sf,sf_detached,41.874963394495474,-87.79006982683532,732 CLARENCE AVE,205
16182190140000,1.0,1,sf,sf_detached,41.87489477710793,-87.79006750231048,734 CLARENCE AVE,205
16182190150000,1.0,1,sf,sf_detached,41.87482618690538,-87.79006516697606,736 CLARENCE AVE,202
16182190160000,1.0,1,sf,sf_detached,41.87472328845482,-87.79006166855896,738 CLARENCE AVE,202
16182190170000,1.0,1,sf,sf_detached,41.874620471929674,-87.79005817020982,742 CLARENCE AVE,203
16182190180000,1.0,1,sf,sf_detached,41.87448700378974,-87.79005359965447,744 CLARENCE AVE,203
16182190190000,1.0,1,sf,sf_detached,41.87603540056397,-87.78958650386593,701 S EAST AVE,204
16182190200000,1.0,1,sf,sf_detached,41.87586797981366,-87.78958078926806,705 S EAST AVE,203
16182190210000,1.0,1,sf,sf_detached,41.875761095064505,-87.7895771179647,711 S EAST AVE,204
16182190220000,1.0,1,sf,sf_detached,41.87559364745778,-87.78957143865831,713 S EAST AVE,203
16182190230000,1.0,1,sf,sf_detached,41.87545649477799,-87.78956674502578,717 S EAST AVE,203
16182190240000,2.0,1,small_mf,small_mf,41.87534963767378,-87.78956312583156,721 S EAST AVE,211
16182190250000,1.0,1,sf,sf_detached,41.87524673921846,-87.78955961417873,725 S EAST AVE,205
16182190260000,1.0,1,sf,sf_detached,41.875143895064994,-87.78955609646457,727 S EAST AVE,205
16182190270000,1.0,1,sf,sf_detached,41.875040968972456,-87.78955256229696,731 S EAST AVE,205
16182190280000,1.0,1,sf,sf_detached,41.874972406224,-87.78955024299108,735 S EAST AVE,203
16182190290000,0.0,1,none,none,41.87490381645963,-87.78954792351982,735 S EAST AVE,201
16182190300000,1.0,1,sf,sf_detached,41.87477064958067,-87.78954336796721,737 S EAST AVE,203
16182190310000,0.0,1,none,none,41.8746980463751,-87.7895408916825,741 S EAST AVE,241
16182190320000,1.0,1,sf,sf_detached,41.87462951135517,-87.78953855185237,743 S EAST AVE,205
16182190330000,1.0,1,sf,sf_detached,41.874496015393945,-87.78953400194155,745 S EAST AVE,204
16182200010000,1.0,1,sf,sf_detached,41.87604564747548,-87.78888215541383,545 JACKSON BLVD,205
16182200020000,1.0,1,sf,sf_detached,41.87590846750821,-87.78887749985168,704 S EAST AVE,204
16182200030000,1.0,1,sf,sf_detached,41.8757712878165,-87.78887284391375,708 S EAST AVE,205
16182200040000,1.0,1,sf,sf_detached,41.875656998199226,-87.78886896693007,712 S EAST AVE,205
16182200050000,1.0,1,sf,sf_detached,41.875565572653386,-87.7888658169158,714 S EAST AVE,205
16182200060000,1.0,1,sf,sf_detached,41.87547417400888,-87.78886273408398,716 S EAST AVE,205
16182200070000,1.0,1,sf,sf_detached,41.87535988528623,-87.7888588401556,720 S EAST AVE,205
16182200080000,0.0,1,none,none,41.875222732587545,-87.78885418344643,724 S EAST AVE,EX
16182200090000,1.0,1,sf,sf_detached,41.87508557988534,-87.78884950999418,728 S EAST AVE,205
16182200100000,1.0,1,sf,sf_detached,41.87496552661543,-87.78884542405353,732 S EAST AVE,203
16182200110000,1.0,1,sf,sf_detached,41.87484942578492,-87.78884147341337,736 S EAST AVE,205
16182200120000,1.0,1,sf,sf_detached,41.87477693848603,-87.78883900430421,738 S EAST AVE,202
16182200130000,1.0,1,sf,sf_detached,41.87469728734084,-87.7888362985815,740 S EAST AVE,204
16182200140000,1.0,1,sf,sf_detached,41.87458727936792,-87.78883255143306,744 S EAST AVE,204
16182200150000,1.0,1,sf,sf_detached,41.87451553348682,-87.78883011702615,746 S EAST AVE,204
16182200160000,1.0,1,sf,sf_detached,41.87605435914065,-87.78836399987568,525 JACKSON BLVD,204
16182200170000,1.0,1,sf,sf_detached,41.87595151514769,-87.7883605212705,705 S SCOVILLE AVE,205
16182200180000,1.0,1,sf,sf_detached,41.875882925378306,-87.78835820305773,707 S SCOVILLE AVE,205
16182200190000,3.0,1,small_mf,small_mf,41.87578002690974,-87.78835470762746,709 S SCOVILLE AVE,211
16182200200000,1.0,1,sf,sf_detached,41.875642874383885,-87.7883500714272,715 S SCOVILLE AVE,203
16182200210000,1.0,1,sf,sf_detached,41.87550574931123,-87.78834543498505,717 S SCOVILLE AVE,206
16182200220000,1.0,1,sf,sf_detached,41.87536862423522,-87.78834078123592,721 S SCOVILLE AVE,205
16182200230000,1.0,1,sf,sf_detached,41.87523147152507,-87.7883361262162,725 S SCOVILLE AVE,205
16182200240000,1.0,1,sf,sf_detached,41.87512171148052,-87.78833243114849,731 S SCOVILLE AVE,205
16182200250000,1.0,1,sf,sf_detached,41.87504288356264,-87.78832975996662,733 S SCOVILLE AVE 1,205
16182200260000,1.0,1,sf,sf_detached,41.87495785309804,-87.7883268668615,735 S SCOVILLE AVE,203
16182200270000,1.0,1,sf,sf_detached,41.87485841294576,-87.78832350595157,737 S SCOVILLE AVE,202
16182200280000,1.0,1,sf,sf_detached,41.87478982271257,-87.78832118779167,739 S SCOVILLE AVE,205
16182200290000,1.0,1,sf,sf_detached,41.8746828347805,-87.78831756323689,741 S SCOVILLE AVE,205
16182200300000,1.0,1,sf,sf_detached,41.87454653256617,-87.78831293995623,747 S SCOVILLE AVE,204
16182210010000,1.0,1,sf,sf_detached,41.876066265352605,-87.78765810962014,515 JACKSON BLVD,206
16182210020000,1.0,1,sf,sf_detached,41.875946266989416,-87.78765404313901,708 S SCOVILLE AVE,206
16182210030000,1.0,1,sf,sf_detached,41.875830133198,-87.78765009464546,710 S SCOVILLE AVE,205
16182210040000,1.0,1,sf,sf_detached,41.87575765138656,-87.78764764186093,712 S SCOVILLE AVE,203
16182210050000,1.0,1,sf,sf_detached,41.87563768065178,-87.78764357979688,714 S SCOVILLE AVE,205
16182210060000,1.0,1,sf,sf_detached,41.87553821320888,-87.78764023865408,716 S SCOVILLE AVE,206
16182210070000,1.0,1,sf,sf_detached,41.875425537548765,-87.78763640814951,718 S SCOVILLE AVE,206
16182210080000,1.0,1,sf,sf_detached,41.87535302846592,-87.78763395703788,722 S SCOVILLE AVE,203
16182210090000,1.0,1,sf,sf_detached,41.87524326795494,-87.78763026421575,724 S SCOVILLE AVE,205
16182210100000,1.0,1,sf,sf_detached,41.875106115846606,-87.78762562989841,728 S SCOVILLE AVE,206
16182210110000,1.0,1,sf,sf_detached,41.87498954850931,-87.78762170106523,734 S SCOVILLE AVE,205
16182210120000,1.0,1,sf,sf_detached,41.8748768458004,-87.7876178690523,736 S SCOVILLE AVE,205
16182210130000,1.0,1,sf,sf_detached,41.87480439120483,-87.78761541817323,738 S SCOVILLE AVE,203
16182210140000,1.0,1,sf,sf_detached,41.87470838190555,-87.78761217664419,742 S SCOVILLE AVE,202
16182210150000,1.0,1,sf,sf_detached,41.87460665737559,-87.78760871207032,744 S SCOVILLE AVE,205
16182210160000,1.0,1,sf,sf_detached,41.87453524631965,-87.78760631087522,746 S SCOVILLE AVE,205
16182210170000,2.0,1,small_mf,small_mf,41.87607499378434,-87.78713897942754,701 GUNDERSON AVE 1,211
16182210180000,1.0,1,sf,sf_detached,41.87593784168191,-87.78713434666713,705 GUNDERSON AVE,205
16182210190000,1.0,1,sf,sf_detached,41.87583494291424,-87.78713087277137,709 GUNDERSON AVE,205
16182210200000,1.0,1,sf,sf_detached,41.875766352954656,-87.78712853546372,711 GUNDERSON AVE,205
16182210210000,1.0,1,sf,sf_detached,41.87564635474813,-87.78712447284155,715 GUNDERSON AVE,203
16182210220000,1.0,1,sf,sf_detached,41.87554351116744,-87.78712099664986,717 GUNDERSON AVE,205
16182210230000,1.0,1,sf,sf_detached,41.875427376638726,-87.78711706738075,721 GUNDERSON AVE,203
16182210240000,1.0,1,sf,sf_detached,41.87535486807469,-87.78711461370652,723 GUNDERSON AVE,205
16182210250000,1.0,1,sf,sf_detached,41.87523484239715,-87.787110551976,727 GUNDERSON AVE,205
16182210260000,1.0,1,sf,sf_detached,41.875149125884064,-87.78710766829894,729 GUNDERSON AVE,205
16182210270000,1.0,1,sf,sf_detached,41.875080535468825,-87.78710534688436,731 GUNDERSON AVE,205
16182210280000,1.0,1,sf,sf_detached,41.875003437095685,-87.78710274054458,735 GUNDERSON AVE,202
16182210290000,1.0,1,sf,sf_detached,41.87493481966748,-87.7871004185076,737 GUNDERSON AVE,203
16182210300000,1.0,1,sf,sf_detached,41.87482338511526,-87.78709665177827,739 GUNDERSON AVE,205
16182210310000,2.0,1,small_mf,small_mf,41.87470338688573,-87.78709258937576,741 GUNDERSON AVE,211
16182210320000,2.0,1,small_mf,small_mf,41.874567414600634,-87.78708798290856,743 GUNDERSON AVE 1ST,211
16182220010000,1.0,1,sf,sf_detached,41.876100401301585,-87.78644612124344,700 GUNDERSON AVE,205
16182220020000,1.0,1,sf,sf_detached,41.87597694485627,-87.78644191911097,704 GUNDERSON AVE,206
16182220030000,1.0,1,sf,sf_detached,41.87585354367537,-87.78643774051379,708 GUNDERSON AVE,206
16182220040000,1.0,1,sf,sf_detached,41.87574378252097,-87.78643403045572,710 GUNDERSON AVE,205
16182220050000,1.0,1,sf,sf_detached,41.875634049904875,-87.78643030550782,714 GUNDERSON AVE,205
16182220060000,1.0,1,sf,sf_detached,41.87549912052905,-87.78642574438848,718 GUNDERSON AVE,206
16182220070000,1.0,1,sf,sf_detached,41.87538938773028,-87.78642201719262,720 GUNDERSON AVE,205
16182220080000,1.0,1,sf,sf_detached,41.87527965492953,-87.78641828948086,724 GUNDERSON AVE,205
16182220090000,1.0,1,sf,sf_detached,41.87515625283012,-87.78641412770692,728 GUNDERSON AVE,205
16182220100000,1.0,1,sf,sf_detached,41.87503282399842,-87.78640994595216,732 GUNDERSON AVE,206
16182220110000,1.0,1,sf,sf_detached,41.874923091365616,-87.78640622132534,734 GUNDERSON AVE,206
16182220120000,1.0,1,sf,sf_detached,41.87481338511772,-87.78640251043629,738 GUNDERSON AVE,205
16182220130000,1.0,1,sf,sf_detached,41.87468995627559,-87.7863983284802,742 GUNDERSON AVE,205
16182220140000,1.0,1,sf,sf_detached,41.874566719372666,-87.78639415159472,746 GUNDERSON AVE,206
16182220150000,1.0,1,sf,sf_detached,41.87599979322086,-87.78589799815853,701 S ELMWOOD AVE,206
16182220160000,1.0,1,sf,sf_detached,41.875862639828945,-87.78589332690787,709 S ELMWOOD AVE,205
16182220170000,1.0,1,sf,sf_detached,41.875752934662586,-87.78588960318142,711 S ELMWOOD AVE,205
16182220180000,1.0,1,sf,sf_detached,41.87564320168157,-87.78588587389201,715 S ELMWOOD AVE,206
16182220190000,1.0,1,sf,sf_detached,41.8755208702204,-87.78588172380282,719 S ELMWOOD AVE,206
16182220200000,1.0,1,sf,sf_detached,41.87539853858004,-87.78587755337642,721 S ELMWOOD AVE,206
16182220210000,1.0,1,sf,sf_detached,41.87528880559212,-87.78587380684934,725 S ELMWOOD AVE,206
16182220220000,1.0,1,sf,sf_detached,41.87516537692319,-87.78586962943808,729 S ELMWOOD AVE,206
16182220230000,1.0,1,sf,sf_detached,41.87504194717485,-87.78586543194947,733 S ELMWOOD AVE,205
16182220240000,1.0,1,sf,sf_detached,41.87493221418282,-87.78586168550265,735 S ELMWOOD AVE,205
16182220250000,1.0,1,sf,sf_detached,41.87480878550324,-87.78585750780685,739 S ELMWOOD AVE,206
16182220260000,1.0,1,sf,sf_detached,41.874685355749925,-87.78585331068132,743 S ELMWOOD AVE,205
16182220270000,1.0,1,sf,sf_detached,41.87457600735469,-87.78584958338759,747 S ELMWOOD AVE,205
16182230010000,1.0,1,sf,sf_detached,41.87612101680533,-87.78522126591216,700 S ELMWOOD AVE,206
16182230020000,1.0,1,sf,sf_detached,41.8759975881396,-87.78521710683131,704 S ELMWOOD AVE,206
16182230030000,1.0,1,sf,sf_detached,41.875874186028454,-87.78521294666541,708 S ELMWOOD AVE,205
16182230040000,1.0,1,sf,sf_detached,41.87576448066637,-87.78520922072406,710 S ELMWOOD AVE,206
16182230050000,1.0,1,sf,sf_detached,41.875654775483355,-87.78520553161441,714 S ELMWOOD AVE,206
16182230060000,1.0,1,sf,sf_detached,41.87553244462838,-87.78520143598236,718 S ELMWOOD AVE,206
16182230070000,1.0,1,sf,sf_detached,41.87541014105914,-87.78519730423268,720 S ELMWOOD AVE,206
16182230080000,1.0,1,sf,sf_detached,41.875300434790574,-87.78519357836151,724 S ELMWOOD AVE,205
16182230090000,1.0,1,sf,sf_detached,41.87517700610235,-87.78518941865926,728 S ELMWOOD AVE,205
16182230100000,1.0,1,sf,sf_detached,41.87505357741868,-87.7851852593332,732 S ELMWOOD AVE,206
16182230110000,1.0,1,sf,sf_detached,41.87494389859968,-87.78518153429812,734 S ELMWOOD AVE,205
16182230120000,1.0,1,sf,sf_detached,41.87482046990653,-87.7851773741395,738 S ELMWOOD AVE,206
16182230130000,1.0,1,sf,sf_detached,41.874697068671544,-87.78517321484375,742 S ELMWOOD AVE,205
16182230140000,1.0,1,sf,sf_detached,41.87458780191173,-87.78516952522125,746 S ELMWOOD AVE,205
16182230150000,1.0,1,sf,sf_detached,41.87612994807372,-87.78468931866628,701 S RIDGELAND AVE,205
16182230160000,1.0,1,sf,sf_detached,41.876020242784165,-87.78468570439307,705 S RIDGELAND AVE,205
16182230170000,1.0,1,sf,sf_detached,41.87588995243209,-87.7846814033175,709 S RIDGELAND AVE,206
16182230180000,1.0,1,sf,sf_detached,41.87577338584215,-87.78467756959759,711 S RIDGELAND AVE,205
16182230190000,1.0,1,sf,sf_detached,41.87566373546424,-87.784673955401,715 S RIDGELAND AVE,205
