pin,class,nbhd,mailed_bldg,mailed_land,mailed_tot,ap_lat,ap_lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,n_cards,lat,lon,coord_source,arcgis_name,parceltype
16051010270000,203,27030,45500,8500,54000,41.90771572,-87.78236776,1207 N HARVEY AVE,,1797.0,5000.0,1924.0,Single-Family,1.0,41.907718692422236,-87.7824299384972,arcgis_pin14,16051010270000,BaseParcel
16051010280000,203,27030,42500,8500,51000,41.9076054,-87.78237751,1205 N HARVEY AVE,,1622.0,5000.0,1924.0,Single-Family,1.0,41.907608960138504,-87.78242618143248,arcgis_pin14,16051010280000,BaseParcel
16051010290000,205,27030,49982,9019,59001,41.90748212,-87.78238738,1201 N HARVEY AVE,,2154.0,5305.0,1925.0,Single-Family,1.0,41.907496729532866,-87.78242233358137,arcgis_pin14,16051010290000,BaseParcel
16051020080000,203,27030,26362,7638,34000,41.90863112,-87.78182952,1230 N HARVEY AVE,,1178.0,4493.0,1923.0,Single-Family,1.0,41.90861435698046,-87.78173815364235,arcgis_pin14,16051020080000,BaseParcel
16051020090000,203,27030,38139,7861,46000,41.90851485,-87.78184638,1228 N HARVEY AVE,,1795.0,4624.0,1923.0,Single-Family,1.0,41.908521888459035,-87.78173494539968,arcgis_pin14,16051020090000,BaseParcel
16051020100000,205,27030,43139,7861,51000,41.90842342,-87.78184834,1226 N HARVEY AVE,,1871.0,4624.0,1920.0,Single-Family,1.0,41.90842862344263,-87.78173170695182,arcgis_pin14,16051020100000,BaseParcel
16051020110000,203,27030,39139,7861,47000,41.9083258,-87.78180572,1222 N HARVEY AVE,,1689.0,4624.0,1925.0,Single-Family,1.0,41.90833535887485,-87.78172846879872,arcgis_pin14,16051020110000,BaseParcel
16051020120000,205,27030,39139,7861,47000,41.90824155,-87.78179764,1220 N HARVEY AVE,,1836.0,4624.0,1918.0,Single-Family,1.0,41.90824209385826,-87.78172523068787,arcgis_pin14,16051020120000,BaseParcel
16051020130000,206,27030,54139,7861,62000,41.90814401,-87.78177263,1218 N HARVEY AVE,,2389.0,4624.0,1923.0,Single-Family,1.0,41.90814882929028,-87.78172199260845,arcgis_pin14,16051020130000,BaseParcel
16051020140000,204,27030,53139,7861,61000,41.90805947,-87.78175574,1214 N HARVEY AVE,,2337.0,4624.0,1927.0,Single-Family,1.0,41.90805556426767,-87.78171875447404,arcgis_pin14,16051020140000,BaseParcel
16051020150000,205,27030,33224,7776,41000,41.90796223,-87.78179182,1212 N HARVEY AVE,,1298.0,4574.0,1918.0,Single-Family,1.0,41.90797684616953,-87.78171601822724,arcgis_pin14,16051020150000,BaseParcel
16051020160000,203,27030,29367,7633,37000,41.90862138,-87.78115241,1233 N LOMBARD AVE,,1340.0,4490.0,1925.0,Single-Family,1.0,41.90862110879669,-87.78117878872193,arcgis_pin14,16051020160000,BaseParcel
16051020170000,203,27030,25139,7861,33000,41.90852381,-87.7811186,1229 N LOMBARD AVE,,1197.0,4624.0,1918.0,Single-Family,1.0,41.90852864026458,-87.781175598441,arcgis_pin14,16051020170000,BaseParcel
16051020180000,204,27030,37139,7861,45000,41.90843287,-87.78111939,1227 N LOMBARD AVE,,1816.0,4624.0,1918.0,Single-Family,1.0,41.90843537542003,-87.78117238103417,arcgis_pin14,16051020180000,BaseParcel
16051020190000,203,27030,31139,7861,39000,41.90834837,-87.7811113,1225 N LOMBARD AVE,,1544.0,4624.0,1925.0,Single-Family,1.0,41.90834211084145,-87.78116916087006,arcgis_pin14,16051020190000,BaseParcel
16051020200000,203,27030,31139,7861,39000,41.90825125,-87.78112095,1221 N LOMBARD AVE,,1426.0,4624.0,1925.0,Single-Family,1.0,41.90824884598803,-87.78116594283702,arcgis_pin14,16051020200000,BaseParcel
16051020210000,205,27030,36139,7861,44000,41.90816032,-87.78112173,1219 N LOMBARD AVE,,1440.0,4624.0,1920.0,Single-Family,1.0,41.9081555815832,-87.78116274201005,arcgis_pin14,16051020210000,BaseParcel
16051020220000,204,27030,45139,7861,53000,41.90805,-87.7811315,1215 N LOMBARD AVE,,2150.0,4624.0,1925.0,Single-Family,1.0,41.908062316549824,-87.78115952186448,arcgis_pin14,16051020220000,BaseParcel
16051020230000,203,27030,29224,7776,37000,41.90797202,-87.78113217,1213 N LOMBARD AVE,,1278.0,4574.0,1923.0,Single-Family,1.0,41.90798054856881,-87.78115669693995,arcgis_pin14,16051020230000,BaseParcel
16051020240000,204,27030,39900,8101,48001,41.90767731,-87.78191585,222 LE MOYNE PKY,,2037.0,4765.0,1926.0,Single-Family,1.0,41.90769975698484,-87.78188665495972,arcgis_pin14,16051020240000,BaseParcel
16051020250000,204,27030,46563,7438,54001,41.9076702,-87.78178552,220 LE MOYNE PKY,,1892.0,4375.0,1924.0,Single-Family,1.0,41.90770138970849,-87.7817523312556,arcgis_pin14,16051020250000,BaseParcel
16051020260000,203,27030,31563,7438,39001,41.90770836,-87.78163719,216 LE MOYNE PKY,,1335.0,4375.0,1924.0,Single-Family,1.0,41.907702939968914,-87.78162373932133,arcgis_pin14,16051020260000,BaseParcel
16051020270000,203,27030,35563,7438,43001,41.90771422,-87.78150851,214 LE MOYNE PKY,,1552.0,4375.0,1925.0,Single-Family,1.0,41.90770449026197,-87.78149518414173,arcgis_pin14,16051020270000,BaseParcel
16051020280000,203,27030,43563,7438,51001,41.90771367,-87.78139517,212 LE MOYNE PKY,,1647.0,4375.0,1927.0,Single-Family,1.0,41.907706040411014,-87.78136662866723,arcgis_pin14,16051020280000,BaseParcel
16051020290000,204,27030,51563,7438,59001,41.90771305,-87.78126478,208 LE MOYNE PKY,,2638.0,4375.0,1925.0,Single-Family,1.0,41.9077075899602,-87.78123807285732,arcgis_pin14,16051020290000,BaseParcel
16051020300000,204,27030,58563,7438,66001,41.9077189,-87.78113435,206 LE MOYNE PKY,,2631.0,4375.0,1924.0,Single-Family,1.0,41.90770913982133,-87.7811095173735,arcgis_pin14,16051020300000,BaseParcel
16051020310000,204,27030,48500,8500,57000,41.90771823,-87.78099516,202 LE MOYNE PKY,,2052.0,5000.0,1926.0,Single-Family,1.0,41.90771080745928,-87.78097118901054,arcgis_pin14,16051020310000,BaseParcel
