pin,class,nbhd,mailed_tot,lat,lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,pin_num_cards
16071150431001,299,27070,17360,,,"938 ONTARIO ST 1",,,,,,
16071150431002,299,27070,11887,,,"938 ONTARIO ST 2",,,,,,
16071150431003,299,27070,11699,,,"938 ONTARIO ST 3",,,,,,
16071150431004,299,27070,11887,,,"938 ONTARIO ST 4",,,,,,
16071150431005,299,27070,11699,,,"938 ONTARIO ST 5",,,,,,
16071150431006,299,27070,11887,,,"938 ONTARIO ST 6",,,,,,
16071150431007,299,27070,16605,,,"938 ONTARIO ST 7",,,,,,
16071150431008,299,27070,17548,,,"938 ONTARIO ST 8",,,,,,
16071150431009,299,27070,12264,,,"938 ONTARIO ST 9",,,,,,
16071150431010,299,27070,12264,,,"938 ONTARIO ST 10",,,,,,
16071150431011,299,27070,12264,,,"938 ONTARIO ST 11",,,,,,
16071150431012,299,27070,12264,,,"938 ONTARIO ST 12",,,,,,
16071150431013,299,27070,12264,,,"938 ONTARIO ST 13",,,,,,
16071150431014,299,27070,16793,,,"938 ONTARIO ST 14",,,,,,
16071150440000,206,27070,110000,41.89171534,-87.79985346,"244 FOREST AVE",None,2696,11305,1878,Single-Family,1
16071150450000,206,27070,98000,41.89181523,-87.7993733,"2 ELIZABETH CT",None,2674,9310,1909,Single-Family,1
16071150471001,299,27070,31768,,,"221 N KENILWORTH AVE 101",,,,,,
16071150471002,299,27070,31535,,,"221 N KENILWORTH AVE 102",,,,,,
16071150471003,299,27070,37977,,,"221 N KENILWORTH AVE 103",,,,,,
16071150471004,299,27070,30707,,,"221 N KENILWORTH AVE 104",,,,,,
16071150471005,299,27070,29181,,,"221 N KENILWORTH AVE 105",,,,,,
16071150471006,299,27070,31199,,,"221 N KENILWORTH AVE 106",,,,,,
16071150471007,299,27070,20722,,,"221 N KENILWORTH AVE 107",,,,,,
16071150471008,299,27070,20722,,,"221 N KENILWORTH AVE 108",,,,,,
16071150471009,299,27070,31535,,,"221 N KENILWORTH AVE 109",,,,,,
16071150471010,299,27070,21550,,,"221 N KENILWORTH AVE 110",,,,,,
16071150471013,299,27070,31768,,,"221 N KENILWORTH AVE 201",,,,,,
16071150471014,299,27070,31535,,,"221 N KENILWORTH AVE 202",,,,,,
16071150471015,299,27070,37977,,,"221 N KENILWORTH AVE 203",,,,,,
16071150471016,299,27070,30707,,,"221 N KENILWORTH AVE 204",,,,,,
16071150471017,299,27070,30501,,,"221 N KENILWORTH AVE 205",,,,,,
16071150471018,299,27070,31199,,,"221 N KENILWORTH AVE 206",,,,,,
16071150471019,299,27070,32984,,,"221 N KENILWORTH AVE 207",,,,,,
16071150471020,299,27070,32984,,,"221 N KENILWORTH AVE 208",,,,,,
16071150471021,299,27070,31535,,,"221 N KENILWORTH AVE 209",,,,,,
16071150471022,299,27070,37770,,,"221 N KENILWORTH AVE 210",,,,,,
16071150471023,299,27070,21861,,,"221 N KENILWORTH AVE 211",,,,,,
16071150471024,299,27070,40487,,,"221 N KENILWORTH AVE 212",,,,,,
16071150471025,299,27070,31535,,,"221 N KENILWORTH AVE 213",,,,,,
16071150471026,299,27070,31768,,,"221 N KENILWORTH AVE 214",,,,,,
16071150471027,299,27070,31768,,,"221 N KENILWORTH AVE 301",,,,,,
16071150471028,299,27070,31535,,,"221 N KENILWORTH AVE 302",,,,,,
16071150471029,299,27070,37977,,,"221 N KENILWORTH AVE 303",,,,,,
16071150471030,299,27070,30707,,,"221 N KENILWORTH AVE 304",,,,,,
16071150471031,299,27070,30501,,,"221 N KENILWORTH AVE 305",,,,,,
16071150471032,299,27070,31199,,,"221 N KENILWORTH AVE 306",,,,,,
16071150471033,299,27070,32984,,,"221 N KENILWORTH AVE 307",,,,,,
16071150471034,299,27070,32984,,,"221 N KENILWORTH AVE 308",,,,,,
16071150471035,299,27070,31535,,,"221 N KENILWORTH AVE 309",,,,,,
16071150471036,299,27070,37770,,,"221 N KENILWORTH AVE 310",,,,,,
16071150471037,299,27070,21861,,,"221 N KENILWORTH AVE 311",,,,,,
16071150471038,299,27070,40487,,,"221 N KENILWORTH AVE 312",,,,,,
16071150471039,299,27070,31535,,,"221 N KENILWORTH AVE 313",,,,,,
16071150471040,299,27070,31768,,,"221 N KENILWORTH AVE 314",,,,,,
16071150471041,299,27070,31768,,,"221 N KENILWORTH AVE 401",,,,,,
16071150471042,299,27070,31535,,,"221 N KENILWORTH AVE 402",,,,,,
16071150471045,299,27070,30501,,,"221 N KENILWORTH AVE 405",,,,,,
16071150471046,299,27070,31199,,,"221 N KENILWORTH AVE 406",,,,,,
16071150471047,299,27070,32984,,,"221 N KENILWORTH AVE 407",,,,,,
16071150471048,299,27070,32984,,,"221 N KENILWORTH AVE 408",,,,,,
16071150471049,299,27070,31535,,,"221 N KENILWORTH AVE 409",,,,,,
16071150471050,299,27070,37770,,,"221 N KENILWORTH AVE 410",,,,,,
16071150471051,299,27070,21861,,,"221 N KENILWORTH AVE 411",,,,,,
16071150471052,299,27070,40487,,,"221 N KENILWORTH AVE 412",,,,,,
16071150471053,299,27070,31535,,,"221 N KENILWORTH AVE 413",,,,,,
16071150471054,299,27070,31768,,,"221 N KENILWORTH AVE 414",,,,,,
16071150471055,299,27070,32053,,,"221 N KENILWORTH AVE 501",,,,,,
16071150471056,299,27070,31820,,,"221 N KENILWORTH AVE 502",,,,,,
16071150471057,299,27070,38469,,,"221 N KENILWORTH AVE 503",,,,,,
16071150471058,299,27070,30993,,,"221 N KENILWORTH AVE 504",,,,,,
16071150471059,299,27070,31095,,,"221 N KENILWORTH AVE 505",,,,,,
16071150471060,299,27070,31535,,,"221 N KENILWORTH AVE 506",,,,,,
16071150471061,299,27070,33268,,,"221 N KENILWORTH AVE 507",,,,,,
16071150471062,299,27070,33268,,,"221 N KENILWORTH AVE 508",,,,,,
16071150471063,299,27070,31820,,,"221 N KENILWORTH AVE 509",,,,,,
16071150471064,299,27070,38469,,,"221 N KENILWORTH AVE 510",,,,,,
16071150471065,299,27070,22067,,,"221 N KENILWORTH AVE 511",,,,,,
16071150471066,299,27070,41107,,,"221 N KENILWORTH AVE 512",,,,,,
16071150471067,299,27070,31820,,,"221 N KENILWORTH AVE 513",,,,,,
16071150471068,299,27070,32053,,,"221 N KENILWORTH AVE 514",,,,,,
16071150471072,299,27070,2,,,"221 N KENILWORTH AVE G-4",,,,,,
16071150471087,299,27070,2,,,"221 N KENILWORTH AVE G-19",,,,,,
16071150471095,299,27070,1035,,,"221 N KENILWORTH AVE G-27",,,,,,
16071150471109,299,27070,37977,,,"221 N KENILWORTH AVE 403",,,,,,
16071150471110,299,27070,30707,,,"221 N KENILWORTH AVE 404",,,,,,
16071150471111,299,27070,31535,,,"221 N KENILWORTH AVE 111",,,,,,
16071150471112,299,27070,31768,,,"221 N KENILWORTH AVE 112",,,,,,
16071150471113,299,27070,41056,,,"225 N KENILWORTH AVE T-H-A",,,,,,
16071150471114,299,27070,41056,,,"225 N KENILWORTH AVE T-H-B",,,,,,
16071150471115,299,27070,41056,,,"225 N KENILWORTH AVE T-H-C",,,,,,
16071150471116,299,27070,41056,,,"225 N KENILWORTH AVE T-H-D",,,,,,
16071150471117,299,27070,41056,,,"225 N KENILWORTH AVE T-H-E",,,,,,
16071150471118,299,27070,41056,,,"225 N KENILWORTH AVE T-H-F",,,,,,
16071150471119,299,27070,41056,,,"225 N KENILWORTH AVE T-H-G",,,,,,
16071150471120,299,27070,41056,,,"225 N KENILWORTH AVE T-H-H",,,,,,
16071150471121,299,27070,41056,,,"225 N KENILWORTH AVE T-H-K",,,,,,
16071150471122,299,27070,41056,,,"225 N KENILWORTH AVE T-H-L",,,,,,
16071150481001,299,27070,26046,,,"930 ONTARIO ST",,,,,,
16071150481002,299,27070,27579,,,"930 ONTARIO ST",,,,,,
16071150481003,299,27070,24207,,,"930 ONTARIO ST",,,,,,
16071150481004,299,27070,24207,,,"930 ONTARIO ST",,,,,,
16071150481005,299,27070,24207,,,"930 ONTARIO ST",,,,,,
16071150481006,299,27070,24207,,,"930 ONTARIO ST",,,,,,
16071150481007,299,27070,21141,,,"930 ONTARIO ST",,,,,,
16071150481008,299,27070,24207,,,"930 ONTARIO ST",,,,,,
16071150481009,299,27070,24513,,,"930 ONTARIO ST",,,,,,
16071150481010,299,27070,24513,,,"930 ONTARIO ST",,,,,,
16071150481011,299,27070,24513,,,"930 ONTARIO ST",,,,,,
16071150481012,299,27070,24513,,,"930 ONTARIO ST",,,,,,
16071150481013,299,27070,21448,,,"930 ONTARIO ST",,,,,,
16071150481014,299,27070,24513,,,"930 ONTARIO ST",,,,,,
16071150481015,299,27070,24820,,,"930 ONTARIO ST",,,,,,
16071150481016,299,27070,24820,,,"930 ONTARIO ST",,,,,,
16071150481017,299,27070,24820,,,"930 ONTARIO ST",,,,,,
16071150481018,299,27070,24820,,,"930 ONTARIO ST",,,,,,
16071150481019,299,27070,21754,,,"930 ONTARIO ST 4E",,,,,,
16071150481020,299,27070,24820,,,"930 ONTARIO ST",,,,,,
16071150481021,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481022,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481023,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481024,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481025,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481026,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481027,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150481028,299,27070,1533,,,"930 ONTARIO ST",,,,,,
16071150490000,209,27070,116607,41.89151771,-87.79982106,"238 FOREST AVE",None,6312,32543,1913,Single-Family,1
16071150500000,241,27070,21294,,,"238 FOREST AVE B",,,,,,
16071150521001,299,27070,26151,,,"203 N KENILWORTH AVE 2-A",,,,,,
16071150521002,299,27070,33963,,,"203 N KENILWORTH AVE 2-B",,,,,,
16071150521003,299,27070,27319,,,"203 N KENILWORTH AVE 2-C",,,,,,
16071150521004,299,27070,26541,,,"203 N KENILWORTH AVE 2-D",,,,,,
16071150521005,299,27070,25761,,,"203 N KENILWORTH AVE 2-E",,,,,,
16071150521006,299,27070,25761,,,"203 N KENILWORTH AVE 2-F",,,,,,
16071150521007,299,27070,27721,,,"203 N KENILWORTH AVE 2-G",,,,,,
16071150521008,299,27070,36299,,,"203 N KENILWORTH AVE 2-H",,,,,,
16071150521009,299,27070,35521,,,"203 N KENILWORTH AVE 2-J",,,,,,
16071150521010,299,27070,24996,,,"203 N KENILWORTH AVE 2-K",,,,,,
16071150521011,299,27070,27721,,,"203 N KENILWORTH AVE 2-L",,,,,,
16071150521012,299,27070,28500,,,"203 N KENILWORTH AVE 2-M",,,,,,
16071150521013,299,27070,33963,,,"203 N KENILWORTH AVE 2-N",,,,,,
16071150521014,299,27070,27721,,,"203 N KENILWORTH AVE 2-P",,,,,,
16071150521015,299,27070,26541,,,"203 N KENILWORTH AVE 3-A",,,,,,
16071150521016,299,27070,34352,,,"203 N KENILWORTH AVE 3-B",,,,,,
16071150521017,299,27070,27721,,,"203 N KENILWORTH AVE 3-C",,,,,,
16071150521018,299,27070,26942,,,"203 N KENILWORTH AVE 3-D",,,,,,
16071150521019,299,27070,26151,,,"203 N KENILWORTH AVE 3-E",,,,,,
16071150521020,299,27070,26151,,,"203 N KENILWORTH AVE 3-F",,,,,,
16071150521021,299,27070,28098,,,"203 N KENILWORTH AVE 3-G",,,,,,
16071150521022,299,27070,36701,,,"203 N KENILWORTH AVE 3-H",,,,,,
16071150521023,299,27070,35910,,,"203 N KENILWORTH AVE 3-J",,,,,,
16071150521024,299,27070,25372,,,"203 N KENILWORTH AVE 3-K",,,,,,
16071150521025,299,27070,28098,,,"203 N KENILWORTH AVE 3-L",,,,,,
16071150521026,299,27070,28889,,,"203 N KENILWORTH AVE 3-M",,,,,,
16071150521027,299,27070,34352,,,"203 N KENILWORTH AVE 3-N",,,,,,
16071150521028,299,27070,28098,,,"203 N KENILWORTH AVE 3-P",,,,,,
16071150521029,299,27070,37079,,,"203 N KENILWORTH AVE 4-A",,,,,,
16071150521030,299,27070,52704,,,"203 N KENILWORTH AVE 4-B",,,,,,
16071150521031,299,27070,26541,,,"203 N KENILWORTH AVE 4-D",,,,,,
16071150521032,299,27070,26541,,,"203 N KENILWORTH AVE 4-E",,,,,,
16071150521033,299,27070,26541,,,"203 N KENILWORTH AVE 4-F",,,,,,
16071150521034,299,27070,28500,,,"203 N KENILWORTH AVE 4-G",,,,,,
16071150521035,299,27070,37079,,,"203 N KENILWORTH AVE 4-H",,,,,,
16071150521036,299,27070,36299,,,"203 N KENILWORTH AVE 4-J",,,,,,
16071150521037,299,27070,25761,,,"203 N KENILWORTH AVE 4-K",,,,,,
16071150521038,299,27070,28500,,,"203 N KENILWORTH AVE 4-L",,,,,,
16071150521039,299,27070,29279,,,"203 N KENILWORTH AVE 4-M",,,,,,
16071150521040,299,27070,34754,,,"203 N KENILWORTH AVE 4-N",,,,,,
16071150521041,299,27070,28500,,,"203 N KENILWORTH AVE 4-P",,,,,,
16071150521042,299,27070,16656,,,"203 N KENILWORTH AVE 1-A",,,,,,
16071150530000,315,27070,105100,41.89051277,-87.79885513,"922 ONTARIO",,,,,,
16071160020000,315,27070,135909,41.89089511,-87.79721314,"220 N KENILWORTH AVE",,,,,,
16071160090000,315,27070,137591,41.89061704,-87.79719304,"210 N KENILWORTH AVE",,,,,,
16071160110000,EX,27070,0,,,"820 N GROVE AVE",,,,,,
16071160120000,315,27070,202700,41.89029016,-87.79630926,"201 N GROVE AVE",,,,,,
16071160141001,299,27070,33607,,,"224 N KENILWORTH AVE 2A",,,,,,
16071160141002,299,27070,43318,,,"224 N KENILWORTH AVE 2B",,,,,,
16071160141003,299,27070,22891,,,"224 N KENILWORTH AVE 2C",,,,,,
16071160141004,299,27070,33607,,,"224 N KENILWORTH AVE 2D",,,,,,
16071160141005,299,27070,32098,,,"224 N KENILWORTH AVE 2E",,,,,,
16071160141006,299,27070,34111,,,"224 N KENILWORTH AVE 3A",,,,,,
16071160141007,299,27070,43821,,,"224 N KENILWORTH AVE 3B",,,,,,
16071160141008,299,27070,23395,,,"224 N KENILWORTH AVE 3C",,,,,,
